Parameter,3,4,8,16,22,26,27,31,32
PRN,3,4,8,16,22,26,27,31,32
M_0,2.74666554473050972e+00,-5.69467665939790368e-01,-4.81611122979271056e-02,7.18116855169471435e-01,-1.26096558850673013e+00,1.73557093431869025e+00,-1.73022280718201388e-01,2.82452321963232578e+00,5.79939454451814718e-01
delta_n,4.40196907396673392e-09,4.36946772015489038e-09,4.18303138290453442e-09,4.24660545959143784e-09,5.28307720422847270e-09,5.05128183473521448e-09,4.03016787266861098e-09,4.80734310227928938e-09,4.58054794106477562e-09
ecc,3.88247426599264102e-03,1.45191792398691156e-03,6.60163990687578830e-03,1.22962790774181468e-02,6.71353843063115987e-03,6.25350861810147676e-03,9.57410689443349665e-03,1.02715539978817088e-02,5.13400882482528600e-03
sqrtA,5.15375657081604004e+03,5.15369046783447266e+03,5.15367187690734863e+03,5.15377132225036621e+03,5.15371227264404297e+03,5.15363645935058594e+03,5.15365202140808105e+03,5.15362238883972168e+03,5.15373119544982910e+03
OMEGA_0,1.37716785453467794e+00,2.45848997315267237e+00,-7.35879615265441767e-01,-1.67426142885169682e+00,1.27273532182622251e+00,-1.81293070066347317e+00,-7.17474660465198477e-01,-2.78727290293283003e+00,2.41718333718262635e+00
i_0,9.70650171544314877e-01,9.60892029581390972e-01,9.66071615389073046e-01,9.71603403113093012e-01,9.36454582863645579e-01,9.39912327258292879e-01,9.74727542206026198e-01,9.55882550425047883e-01,9.57701079019777635e-01
omega,9.99580010005351238e-01,-3.09959920683989321e+00,5.34909354035957227e-02,6.79609496852004002e-01,-8.87886685712925061e-01,2.95685419113130954e-01,6.30881664719349589e-01,3.11626182035605714e-01,-2.38400616184867475e+00
OMEGAdot,-8.04104922769063347e-09,-7.80961101593156993e-09,-8.06426448041337744e-09,-8.01283376668914257e-09,-8.66857536667315290e-09,-8.31141763247706784e-09,-8.02426281418341680e-09,-7.99497587997933773e-09,-8.02283418324663314e-09
idot,-1.30005415247374535e-10,1.55363614375296496e-10,-2.00008331149806980e-11,-4.89306095848634901e-10,-3.03584074066671313e-11,-4.17517391275222089e-10,-7.14315468392167785e-13,3.21441960776475511e-11,1.03575742916864326e-10
Cuc,-5.73135912418365479e-06,-2.18488276004791260e-06,3.46638262271881104e-06,1.38953328132629395e-06,-5.15580177307128906e-06,1.15297734737396240e-06,3.73087823390960693e-06,1.46031379699707031e-06,-1.63912773132324219e-06
Cus,6.02193176746368408e-06,1.07884407043457031e-05,8.38935375213623047e-06,7.68713653087615967e-06,5.16511499881744385e-06,7.04079866409301758e-06,8.24220478534698486e-06,7.22892582416534424e-06,1.05444341897964478e-05
Crc,2.66031250000000000e+02,1.71781250000000000e+02,2.19781250000000000e+02,2.37687500000000000e+02,2.66343750000000000e+02,2.34187500000000000e+02,2.30343750000000000e+02,2.40156250000000000e+02,1.75718750000000000e+02
Crs,-1.10156250000000000e+02,-4.03125000000000000e+01,6.66875000000000000e+01,2.33437500000000000e+01,-9.98125000000000000e+01,2.12500000000000000e+01,7.04375000000000000e+01,3.07187500000000000e+01,-3.20000000000000000e+01
Cic,-2.60770320892333984e-08,3.72529029846191406e-08,1.11758708953857422e-07,-1.00582838058471680e-07,-1.00582838058471680e-07,-2.04890966415405273e-08,1.08033418655395508e-07,-1.13621354103088379e-07,-6.51925802230834961e-08
Cis,-6.33299350738525391e-08,2.04890966415405273e-08,-1.11758708953857422e-08,1.35973095893859863e-07,-9.31322574615478516e-08,8.94069671630859375e-08,1.15483999252319336e-07,-5.02914190292358398e-08,8.19563865661621094e-08
toe,396000,396000,396000,396000,396000,396000,396000,396000,396000
toc,396000,396000,396000,396000,396000,396000,396000,396000,396000
af0,-3.24650201946496964e-04,-2.03651376068592072e-04,-4.00817953050136566e-05,-4.06925100833177567e-04,-4.89472411572933197e-04,1.44790392369031906e-04,-2.06120777875185013e-04,-1.44899822771549225e-04,-1.01206824183464050e-05
af1,-1.37561073643155364e-11,4.54747350886464018e-13,-1.47792889038100798e-12,-6.36646291241049605e-12,9.20863385545089679e-12,3.97903932025656023e-12,-5.00222085975110450e-12,-1.93267624126747210e-12,-4.09272615797817626e-12
af2,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
WN,131,131,131,131,131,131,131,131,131
tow,390288,390288,390288,390288,390288,390288,390288,390288,390288
satClkDrift,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
dtr,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
IODE_SF2,56,167,53,9,22,113,30,83,59
IODE_SF3,56,167,53,9,22,113,30,83,59
code_on_L2,1,1,1,1,1,1,1,1,1
L2_P_data_flag,0,0,0,0,0,0,0,0,0
SV_accuracy,0,0,0,0,0,0,0,0,0
SV_health,0,0,0,0,0,0,0,0,0
TGD,1.86264514923095703e-09,-4.19095158576965332e-09,5.12227416038513184e-09,-1.02445483207702637e-08,-1.76951289176940918e-08,6.98491930961608887e-09,1.86264514923095703e-09,-1.30385160446166992e-08,4.65661287307739258e-10
IODC,56,935,53,9,22,113,30,83,59
AODO,21600,21600,21600,21600,21600,21600,21600,21600,21600
fit_interval_flag,0,0,0,0,0,0,0,0,0
spare1,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
spare2,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00
integrity_status_flag,0,0,0,0,0,0,0,0,0
alert_flag,0,0,0,0,0,0,0,0,0
antispoofing_flag,1,1,1,1,1,1,1,1,1
